objectid,parentid,filename,format,title,tagline,subject,website,bookstorestatus,latitude,longitude,location,date,designer,source,color,material,size,damage,note
bookmark031,,bookmark016.jpg,image/jpeg,Joseph Fox Bookshop,"Indie bookshop with a carefully curated selection from art, design & children's books to literature, non-fiction & small presses. Established 1951.",Art books; Design Books; Literary Fiction,foxbookshop.com,Closed permanently,39.95092926640814,-75.1697618357854,"Philadelphia, Pennsylvania; Northeast; Middle Atlantic",,,Erin Walden,white,,6.75” x 2”,tear,"Though no longer in operation, Joseph Fox was my beacon of light during COVID-19. In a new city where I didn’t know anyone, I found myself spending hours on end browsing their perfectly curated bookshelves."
bookmark032,bookmark031,bookmark016_.jpg,image/jpeg,Joseph Fox Bookshop (Back),,,,,,,,,,,,,,,
bookmark033,,bookmark017.jpg,image/jpeg,Two Dollar Radio Headquarters,Thank you for supporting independent culture—feel good about yourself!,,,Open,"39.940815167123546, -82.98300792738316",-82.98300792738316,"Columbus, Ohio; Midwest; East North Central",,,Erin Walden,,,,,
bookmark034,bookmark033,bookmark017_.jpg,image/jpeg,Two Dollar Radio Headquarters (Back),,,,,,,,,,,,,,,
bookmark035,,bookmark018.jpg,image/jpeg,Indy Reads,Learn together!,,indyreads.org,Open,39.75392220301003,-86.13992754359296,"Indianapolis, Indiana; Midwest; East North Central",,,Erin Walden,,,,,
bookmark036,bookmark035,bookmark018_.jpg,image/jpeg,Indy Reads (Back),,,,,,,,,,,,,,,
bookmark037,,bookmark019.jpg,image/jpeg,Myopic Books,"We buy used books, inquire for details.",Used books,myopicbookstore.com,Open,41.91001084257054,-87.67687463205515,"Chicago, Illinois; Midwest; East North Central",,Eliza N. Weber,Erin Walden,,,,,
bookmark038,bookmark037,bookmark019_.jpg,image/jpeg,Myopic Books (Back),,,,,,,,,,,,,,,
bookmark039,,bookmark020.jpg,image/jpeg,Pilsen Community Books,Worker Owned & Operated Since 2020,,pilsencommunitybooks.com,Open,41.85827957838754,-87.6536785050719,"Chicago, Illinois; Midwest; East North Central",,,Erin Walden,,,,,
bookmark040,bookmark039,bookmark020_.jpg,image/jpeg,Pilsen Community Books (Back),,,,,,,,,,,,,,,
bookmark041,,bookmark021.jpg,image/jpeg,Quimby's Bookstore,"Unusual publications, aberrant periodicals, saucy comic books, assorted fancies PLUS! Tons of zines!",,quimbys.com,Open,41.91079781362783,-87.67477373200703,"Chicago, Illinois; Midwest; East North Central",,Mike Centeno,Erin Walden,,,,,
bookmark042,bookmark041,bookmark021_.jpg,image/jpeg,Quimby's Bookstore (Back),,,,,,,,,,,,,,,
bookmark043,,bookmark022.jpg,image/jpeg,Unabridged Bookstore,Since 1980,,unabridgedbookstore.com,Open,41.941766357182274,-87.64430333200555,"Chicago, Illinois; Midwest; East North Central",,,Erin Walden,,,,,
bookmark044,bookmark043,bookmark022_.jpg,image/jpeg,Unabridged Bookstore (Back),,,,,,,,,,,,,,,
bookmark045,,bookmark023.jpg,image/jpeg,Boulder Bookstore,We buy and sell used books,Used books,boulderbookstore.net,Open,40.0181846031035,-105.28120421860605,"Boulder, Colorado; West; Mountain",,,Celia Walden,,,,,
bookmark046,bookmark045,bookmark023_.jpg,image/jpeg,Boulder Bookstore (Back),,,,,,,,,,,,,,,
bookmark047,,bookmark024.jpg,image/jpeg,Powell's Books,Used and new books,,powells.com,Open,45.523228010602196,-122.68126927462653,"Portland, Oregon; West; Pacific",,,Erin Walden,,,,,
bookmark048,bookmark047,bookmark024_.jpg,image/jpeg,Powell's Books (Back),,,,,,,,,,,,,,,
